season,ep,name,date,rating
01,01,"""Rose""",2006-02-19,7.5
01,02,"""The End of the World""",2005-04-02,7.5
01,03,"""The Unquiet Dead""",2005-04-09,7.4
01,04,"""Aliens of London""",2005-04-16,6.9
01,05,"""World War Three""",2005-04-23,7.0
01,06,"""Dalek""",2005-04-30,8.6
01,07,"""The Long Game""",2005-05-07,7.0
01,08,"""Father's Day""",2005-05-14,8.3
01,09,"""The Empty Child""",2005-05-21,9.0
01,10,"""The Doctor Dances""",2005-05-28,9.0
01,11,"""Boom Town""",2005-06-04,7.1
01,12,"""Bad Wolf""",2005-06-11,8.6
01,13,"""The Parting of the Ways""",2005-06-18,9.0
02,00,"""The Christmas Invasion""",2005-12-25,8.0
02,01,"""New Earth""",2006-04-15,7.4
02,02,"""Tooth and Claw""",2006-04-22,7.7
02,03,"""School Reunion""",2006-04-29,8.2
02,04,"""The Girl in the Fireplace""",2006-05-06,9.2
02,05,"""Rise of the Cybermen""",2006-05-13,7.7
02,06,"""The Age of Steel""",2006-05-20,7.8
02,07,"""The Idiot's Lantern""",2006-05-27,6.7
02,08,"""The Impossible Planet""",2006-06-03,8.6
02,09,"""The Satan Pit""",2006-06-10,8.7
02,10,"""Love & Monsters""",2006-06-17,6.2
02,11,"""Fear Her""",2006-06-24,5.8
02,12,"""Army of Ghosts""",2006-07-01,8.4
02,13,"""Doomsday""",2006-07-08,9.2
03,00,"""The Runaway Bride""",2006-12-25,7.6
03,01,"""Smith and Jones""",2007-03-31,7.9
03,02,"""The Shakespeare Code""",2007-04-07,7.6
03,03,"""Gridlock""",2007-04-14,8.0
03,04,"""Daleks in Manhattan""",2007-04-21,7.0
03,05,"""Evolution of the Daleks""",2007-04-28,6.9
03,06,"""The Lazarus Experiment""",2007-05-05,6.5
03,07,"""42""",2007-05-19,7.2
03,08,"""Human Nature""",2007-05-26,8.9
03,09,"""The Family of Blood""",2007-06-02,9.2
03,10,"""Blink""",2007-06-09,9.8
03,11,"""Utopia""",2007-06-16,8.7
