season,ep,name,date,rating
01,00,"""Unaired Pilot""",2011-06-05,8.7
01,01,"""A Study in Pink""",2017-10-05,8.9
01,02,"""The Blind Banker""",2010-08-01,7.9
01,03,"""The Great Game""",2010-08-08,9.0
02,01,"""A Scandal in Belgravia""",2012-01-01,9.4
02,02,"""The Hounds of Baskerville""",2012-01-08,8.3
02,03,"""The Reichenbach Fall""",2012-01-15,9.6
03,00,"""Many Happy Returns""",2013-12-24,8.4
03,01,"""The Empty Hearse""",2014-01-01,8.8
03,02,"""The Sign of Three""",2014-01-05,8.9
03,03,"""His Last Vow""",2014-01-12,9.2
04,00,"""The Abominable Bride""",2016-01-01,8.0
04,01,"""The Six Thatchers""",2017-01-01,7.6
04,02,"""The Lying Detective""",2017-01-08,9.1
04,03,"""The Final Problem""",2017-01-15,8.2
