season_ep,name,rating,date,minutes,url
Special 1,"""Children in Need: Born Again""",79%,2005-11-18T18:30:00Z,7m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/1
Special 2,"""The Christmas Invasion""",79%,2005-12-25T18:30:00Z,1h 2m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/2
Special 3,"""Attack of the Graske""",70%,2005-12-25T18:30:00Z,14m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/3
Special 4,"""The Runaway Bride""",80%,2006-12-25T18:30:00Z,1h 4m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/4
Special 5,"""The Infinite Quest""",64%,2007-06-30T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/5
Special 6,"""Children in Need: Time Crash""",84%,2007-11-16T18:30:00Z,8m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/6
Special 7,"""Voyage of the Damned""",78%,2007-12-25T18:30:00Z,1h 16m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/7
Special 8,"""Proms Special: Music of the Spheres""",73%,2008-07-27T17:30:00Z,7m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/8
Special 9,"""The Next Doctor""",74%,2008-12-25T18:30:00Z,1h 1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/9
Special 10,"""Christmas Moments""",76%,2008-12-25T18:30:00Z,10m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/10
Special 11,"""Doctor Who at the Proms""",84%,2009-01-01T18:30:00Z,59m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/11
Special 12,"""Proms Special: Behind the Scenes""",80%,2009-01-01T18:30:00Z,28m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/12
Special 13,"""Planet of the Dead""",77%,2009-04-11T17:30:00Z,59m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/13
Special 14,"""The Waters of Mars""",85%,2009-11-15T18:30:00Z,1h 3m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/14
Special 15,"""Dreamland""",62%,2009-12-05T18:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/15
Special 16,"""The End of Time (1)""",84%,2009-12-25T18:30:00Z,1h,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/16
Special 17,"""The End of Time (2)""",89%,2010-01-01T18:30:00Z,1h 13m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/17
Special 18,"""The Ultimate Guide""",78%,2010-04-17T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/18
Special 19,"""Tardisode 01: New Earth""",74%,2006-04-08T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/19
Special 20,"""Tardisode 02: Tooth And Claw""",73%,2006-04-15T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/20
Special 21,"""Tardisode 03: School Reunion""",74%,2006-04-22T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/21
Special 22,"""Tardisode 04: The Girl In The Fireplace""",79%,2006-04-29T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/22
Special 23,"""Tardisode 05: Rise of the Cybermen""",72%,2006-05-06T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/23
Special 24,"""Tardisode 06: The Age Of Steel""",72%,2006-05-13T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/24
Special 25,"""Tardisode 07: The Idiot's Lantern""",74%,2006-05-20T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/25
Special 26,"""Tardisode 08: The Impossible Planet""",73%,2006-05-27T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/26
Special 27,"""Tardisode 09: The Satan Pit""",74%,2006-06-03T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/27
Special 28,"""Tardisode 10: Love And Monsters""",71%,2006-06-17T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/28
Special 29,"""Tardisode 11: Fear Her""",71%,2006-06-17T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/29
Special 30,"""Tardisode 12: Army Of Ghosts""",72%,2006-06-24T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/30
Special 31,"""Tardisode 13: Doomsday""",75%,2006-07-01T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/31
Special 32,"""Doctor Who at the Proms (2010)""",88%,2010-09-06T17:30:00Z,1h 14m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/32
Special 33,"""Children in Need: A TARDIS Tea Party""",77%,2010-11-19T18:30:00Z,6m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/33
Special 34,"""A Christmas Carol""",84%,2010-12-25T18:30:00Z,1h 2m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/34
Special 35,"""Space (1)""",86%,2011-03-18T18:30:00Z,4m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/35
Special 36,"""Time (2)""",85%,2011-03-18T18:30:00Z,3m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/36
Special 37,"""Best of the Doctor""",79%,2011-08-13T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/37
Special 38,"""Death is the Only Answer""",70%,2011-10-01T17:30:00Z,4m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/38
Special 39,"""Best of the Monsters""",80%,2011-08-27T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/39
Special 40,"""Best of the Companions""",79%,2011-09-03T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/40
Special 41,"""Doctor Who: A Celebration Concert""",83%,2007-05-28T17:30:00Z,1h 30m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/41
Special 42,"""The Impossible Astronaut Prequel""",78%,2011-03-25T18:30:00Z,2m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/42
Special 43,"""The Curse of the Black Spot Prequel""",72%,2011-04-30T17:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/43
Special 44,"""A Good Man Goes to War Prequel""",79%,2011-05-28T17:30:00Z,2m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/44
Special 45,"""Let's Kill Hitler Prequel""",80%,2011-08-15T17:30:00Z,2m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/45
